Time (seconds);Time (microseconds);Speed (m/s);Steering angle (deg);Lane change
0;0;23.895581712346274;-0.0;0
0;10000;23.979132978443165;-0.0;0
0;20000;23.9239729043437;-0.0;0
0;30000;23.933582845512184;-0.0;0
0;40000;23.939214587758308;-0.0;0
0;50000;23.93171936658661;-0.0;0
0;60000;23.900036304149783;-0.0;0
0;70000;23.9279090393976;-0.0;0
0;80000;23.88654945162724;-0.0;0
0;90000;23.92666549541538;-0.0;0
0;100000;23.907570153655282;-0.0;0
0;110000;24.027823084690098;-0.0;0
0;120000;24.04367545635344;-0.0;0
0;130000;24.04253787497627;-0.0;0
0;140000;24.034256055625217;-0.0;0
0;150000;24.117628624306153;-0.0;0
0;160000;24.00234058845677;-0.0;0
0;170000;23.985670061181683;-0.0;0
0;180000;23.934442528891438;-0.0;0
0;190000;23.882824631554918;-0.0;0
0;200000;23.91557430364515;-0.0;0
0;210000;23.85683565773356;-0.0;0
0;220000;23.832269534009768;-0.0;0
0;230000;23.872394299167293;-0.0;0
0;240000;23.820370949560264;-0.0;0
0;250000;23.822848138119905;-0.0;0
0;260000;23.92234816664773;-0.0;0
0;270000;24.013440764903894;-0.0;0
0;280000;24.169799644568226;-0.0;0
0;290000;24.118670242468603;-0.0;0
0;300000;24.12597211566136;-0.0;0
0;310000;24.201022451185963;-0.0;0
0;320000;24.15150721464666;-0.0;0
0;330000;24.141503690134666;-0.0;0
0;340000;24.131829440829517;-0.0;0
0;350000;24.136084284919956;-0.0;0
0;360000;24.0770394779028;-0.0;0
0;370000;24.000418438973224;-0.0;0
0;380000;23.99586567357858;-0.0;0
0;390000;24.017760192493963;-0.0;0
0;400000;24.028708711641702;-0.0;0
0;410000;24.086545999242546;-0.0;0
0;420000;24.003694198743336;-0.0;0
0;430000;23.989938841129415;-0.0;0
0;440000;24.045553103536353;-0.0;0
0;450000;23.98269416948758;-0.0;0
0;460000;23.96682888456206;-0.0;0
0;470000;23.935546943501098;-0.0;0
0;480000;23.99521110634236;-0.0;0
0;490000;23.87235615477818;-0.0;0
0;500000;23.800094249160708;-0.0;0
0;510000;23.660279358422063;-0.0;0
0;520000;23.791353975658396;-0.0;0
0;530000;23.81375052387638;-0.0;0
0;540000;23.937222365302652;-0.0;0
0;550000;24.034238815949937;-0.0;0
0;560000;23.915874283936443;-0.0;0
0;570000;23.8630025882622;-0.0;0
0;580000;23.81036651943194;-0.0;0
0;590000;23.82399571448792;-0.0;0
0;600000;23.885724325977428;-0.0;0
0;610000;23.782662274020698;-0.0;0
0;620000;23.75889905805979;-0.0;0
0;630000;23.710681597641123;-0.0;0
0;640000;23.766576763405606;-0.0;0
0;650000;23.722162293334048;-0.0;0
0;660000;23.88197765576001;-0.0;0
0;670000;23.87742462036306;-0.0;0
0;680000;23.9185204344911;-0.0;0
0;690000;24.029441914206146;-0.0;0
0;700000;23.828689717083428;-0.0;0
0;710000;23.855523391064644;-0.0;0
0;720000;23.933526978476955;-0.0;0
0;730000;23.94176409932947;-0.0;0
0;740000;23.98547440541371;-0.0;0
0;750000;23.952251103555753;-0.0;0
0;760000;23.817674078727073;-0.0;0
0;770000;23.83624705212707;-0.0;0
0;780000;23.931862964249934;-0.0;0
0;790000;23.976187250469536;-0.0;0
0;800000;23.963509359095656;-0.0;0
0;810000;23.83246285415912;-0.0;0
0;820000;23.909269110663125;-0.0;0
0;830000;23.857177942507274;-0.0;0
0;840000;23.929529457518157;-0.0;0
0;850000;23.914190023056964;-0.0;0
0;860000;24.00702013003647;-0.0;0
0;870000;24.02865771297476;-0.0;0
0;880000;23.997631050575798;-0.0;0
0;890000;23.992629418109935;-0.0;0
0;900000;24.05039442247582;-0.0;0
0;910000;24.039420896588513;-0.0;0
0;920000;24.038762126708818;-0.0;0
0;930000;24.125621998533056;-0.0;0
0;940000;24.110803180271123;-0.0;0
0;950000;24.00276481857237;-0.0;0
0;960000;24.02572608887144;-0.0;0
0;970000;24.068279687131987;-0.0;0
0;980000;24.05900401629881;-0.0;0
0;990000;24.206465930800007;-0.0;0
1;0;24.295287254341673;-0.0;0
1;10000;24.39784592032046;-0.0;0
1;20000;24.344734403946315;-0.0;0
1;30000;24.352834016356695;-0.0;0
1;40000;24.09977680843933;-0.0;0
1;50000;23.94945033432792;-0.0;0
1;60000;24.155913909817013;-0.0;0
1;70000;24.206746093205822;-0.0;0
1;80000;24.31102274665521;-0.0;0
1;90000;24.18211816698673;-0.0;0
1;100000;24.043536820128605;-0.0;0
1;110000;24.08955521123252;-0.0;0
1;120000;24.064725083685666;-0.0;0
1;130000;24.09906747126622;-0.0;0
1;140000;24.063054007542046;-0.0;0
1;150000;24.04455984492142;-0.0;0
1;160000;23.949084340993153;-0.0;0
1;170000;23.943621957301687;-0.0;0
1;180000;23.935466765798743;-0.0;0
1;190000;23.950012295527493;-0.0;0
1;200000;24.19117415850187;-0.0;0
1;210000;24.306246221582054;-0.0;0
1;220000;24.263205681232815;-0.0;0
1;230000;24.266406967617712;-0.0;0
1;240000;24.234001730008078;-0.0;0
1;250000;24.228928646708805;-0.0;0
1;260000;24.296101148145173;-0.0;0
1;270000;24.300650062619916;-0.0;0
1;280000;24.26921655458111;-0.0;0
1;290000;24.233288605881768;-0.0;0
1;300000;24.23899211445405;-0.0;0
1;310000;24.191521965135237;-0.0;0
1;320000;24.127615350675377;-0.0;0
1;330000;24.147902455384607;-0.0;0
1;340000;23.99600659232935;-0.0;0
1;350000;23.939830569510615;-0.0;0
1;360000;23.95306104180307;-0.0;0
1;370000;24.05170341803774;-0.0;0
1;380000;24.009969219315167;-0.0;0
1;390000;24.00041594298577;-0.0;0
1;400000;24.045835926572433;-0.0;0
1;410000;24.006183475298577;-0.0;0
1;420000;24.07809086094751;-0.0;0
1;430000;23.993959206625036;-0.0;0
1;440000;23.834316834703763;-0.0;0
1;450000;23.99997416439101;-0.0;0
1;460000;23.982217647086713;-0.0;0
1;470000;24.01104196185253;-0.0;0
1;480000;23.963813318711786;-0.0;0
1;490000;23.91872183032094;-0.0;0
1;500000;23.88156580796095;-0.0;0
1;510000;23.815144126841865;-0.0;0
1;520000;23.82753139457492;-0.0;0
1;530000;23.813469389816174;-0.0;0
1;540000;23.945433816180074;-0.0;0
1;550000;23.921323471539086;-0.0;0
1;560000;23.870130509660854;-0.0;0
1;570000;23.89443349909104;-0.0;0
1;580000;23.835969853977968;-0.0;0
1;590000;23.937374985608308;-0.0;0
1;600000;24.008071636352078;-0.0;0
1;610000;23.98082285689083;-0.0;0
1;620000;24.003566658190483;-0.0;0
1;630000;24.21067291728125;-0.0;0
1;640000;24.12122456718716;-0.0;0
1;650000;24.111515142752086;-0.0;0
1;660000;24.178831333563682;-0.0;0
1;670000;24.232975204748122;-0.0;0
1;680000;24.37425397964456;-0.0;0
1;690000;24.323501868160157;-0.0;0
1;700000;24.22338054293572;-0.0;0
1;710000;24.228798418600164;-0.0;0
1;720000;24.250286929125057;-0.0;0
1;730000;24.211483807316014;-0.0;0
1;740000;24.30422719289455;-0.0;0
1;750000;24.3457874258764;-0.0;0
1;760000;24.317808120590442;-0.0;0
1;770000;24.24091112540037;-0.0;0
1;780000;24.24961350843265;-0.0;0
1;790000;24.221380205239342;-0.0;0
1;800000;24.34950503899496;-0.0;0
1;810000;24.48643771138081;-0.0;0
1;820000;24.520960460169185;-0.0;0
1;830000;24.67080626224286;-0.0;0
1;840000;24.8036532608013;-0.0;0
1;850000;24.8405806733217;-0.0;0
1;860000;24.736928302647545;-0.0;0
1;870000;24.634591648333583;-0.0;0
1;880000;24.655004210935452;-0.0;0
1;890000;24.82712261297463;-0.0;0
1;900000;24.703492201636077;-0.0;0
1;910000;24.603848062003177;-0.0;0
1;920000;24.685974942471898;-0.0;0
1;930000;24.623767353281625;-0.0;0
1;940000;24.665385824896113;-0.0;0
1;950000;24.73301258189578;-0.0;0
1;960000;24.84065098809036;-0.0;0
1;970000;24.79787069759505;-0.0;0
1;980000;24.860270022409328;-0.0;0
1;990000;24.846309898287085;-0.0;0
2;0;24.905064894423123;-0.0;0
2;10000;24.91055168685891;-0.0;0
2;20000;24.88481752712379;-0.0;0
2;30000;24.8986953881621;-0.0;0
2;40000;24.942127569458115;-0.0;0
2;50000;24.991079785250626;-0.0;0
2;60000;25.018681451346136;-0.0;0
