Time (seconds);Time (microseconds);Speed (m/s);Steering angle (deg);Lane change
0;0;14.185071178422106;-0.0;0
0;10000;14.2114162703115;-0.0;0
0;20000;14.215102645605876;-0.0;0
0;30000;14.206015926037425;-0.0;0
0;40000;14.173060684837449;-0.0;0
0;50000;14.187453320264577;-0.0;0
0;60000;14.292486824595928;-0.0;0
0;70000;14.260019827725468;-0.0;0
0;80000;14.326808062148663;-0.0;0
0;90000;14.393065892147579;-0.0;0
0;100000;14.40281171234405;-0.0;0
0;110000;14.451375144369154;-0.0;0
0;120000;14.421792073273302;-0.0;0
0;130000;14.451953429009533;-0.0;0
0;140000;14.411146029137432;-0.0;0
0;150000;14.460883228503459;-0.0;0
0;160000;14.4093307834387;-0.0;0
0;170000;14.376990735255621;-0.0;0
0;180000;14.392656388790709;-0.0;0
0;190000;14.462350926107456;-0.0;0
0;200000;14.346148495113422;-0.0;0
0;210000;14.39050837930547;-0.0;0
0;220000;14.52070243920352;-0.0;0
0;230000;14.625679747380168;-0.0;0
0;240000;14.616558398900843;-0.0;0
0;250000;14.598055504341588;-0.0;0
0;260000;14.653464579280579;-0.0;0
0;270000;14.77651081003592;-0.0;0
0;280000;14.76841284828737;-0.0;0
0;290000;14.927440875958636;-0.0;0
0;300000;14.87880117857278;-0.0;0
0;310000;14.898340910873275;-0.0;0
0;320000;14.933520695965894;-0.0;0
0;330000;14.84344455303058;-0.0;0
0;340000;14.73486859516441;-0.0;0
0;350000;14.79810250122467;-0.0;0
0;360000;14.870526976857247;-0.0;0
0;370000;14.931245844016846;-0.0;0
0;380000;14.836897213612557;-0.0;0
0;390000;14.94564529303094;-0.0;0
0;400000;14.910323376859814;-0.0;0
0;410000;15.034747289000082;-0.0;0
0;420000;15.052444893094986;-0.0;0
0;430000;15.059698086225724;-0.0;0
0;440000;15.202201873482734;-0.0;0
0;450000;15.284028034929669;-0.0;0
0;460000;15.368274083221642;-0.0;0
0;470000;15.377461995761315;-0.0;0
0;480000;15.47297202686695;-0.0;0
0;490000;15.581263356331348;-0.0;0
0;500000;15.584392344854692;-0.0;0
0;510000;15.471437193879147;-0.0;0
0;520000;15.413193077289524;-0.0;0
0;530000;15.382171895887874;-0.0;0
0;540000;15.364265210604408;-0.0;0
0;550000;15.26506044844917;-0.0;0
0;560000;15.219012736164453;-0.0;0
0;570000;15.202231578285094;-0.0;0
0;580000;15.179165703333277;-0.0;0
0;590000;15.00390046103079;-0.0;0
0;600000;14.868128611730622;-0.0;0
