;Time (seconds);Time (microseconds);Speed (m/s);Steering angle (deg);Lane change;timestamp;Morton_Index
0;0;0;15.0;0.0;0;0.0;50745
1;0;10000;14.945992242534622;-0.0647403924655558;0;0.01;50738
2;0;20000;14.971290953836434;-0.0661321680945671;0;0.02;50738
3;0;30000;14.980718443165925;-0.0673825008110684;0;0.03;50738
4;0;40000;15.007914123714311;-0.0684232520602581;0;0.04;50739
5;0;50000;14.990787234728582;-0.0695045845726878;0;0.05;50738
6;0;60000;14.974597936193792;-0.0710145553260601;0;0.06;50738
7;0;70000;14.955383624513116;-0.0725987934294711;0;0.07;50738
8;0;80000;14.94718084785103;-0.0747542278504811;0;0.08;50738
9;0;90000;14.949910605973296;-0.0770932877316819;0;0.09;50738
10;0;100000;14.914100934889564;-0.0795251723640424;0;0.1;50738
11;0;110000;14.859676282431092;-0.0819743098856952;0;0.11;50738
12;0;120000;14.84702929299283;-0.0841017744506262;0;0.12;50738
13;0;130000;14.85291222401422;-0.0862174590102663;0;0.13;50738
14;0;140000;14.872147015705506;-0.0884731936426969;0;0.14;50738
15;0;150000;14.862190635616969;-0.0907332335183621;0;0.15;50738
16;0;160000;14.843960896811067;-0.093262999101775;0;0.16;50738
17;0;170000;14.813609755806858;-0.0956802435504539;0;0.17;50738
18;0;180000;14.809327214020383;-0.0980955965471305;0;0.18;50738
19;0;190000;14.814008536363682;-0.1006701350218726;0;0.19;50738
20;0;200000;14.779561094208114;-0.1033877839952401;0;0.2;50738
21;0;210000;14.786123313027842;-0.1061343945580893;0;0.21;50738
22;0;220000;14.79964287666979;-0.1085982520543068;0;0.22;50738
23;0;230000;14.839991393203556;-0.1108153031822702;0;0.23;50738
24;0;240000;14.838622731958536;-0.1130288018522526;0;0.24;50738
25;0;250000;14.849905648510592;-0.1150786445186775;0;0.25;50738
26;0;260000;14.872009175703749;-0.1169774431096531;0;0.26;50738
27;0;270000;14.860966566866354;-0.1183858363609899;0;0.27;50738
28;0;280000;14.831342229120049;-0.1192773311687422;0;0.28;50738
29;0;290000;14.874346823532276;-0.1199395721207562;0;0.29;50738
30;0;300000;14.894727720196826;-0.1207790438772885;0;0.3;50738
31;0;310000;14.902897973871196;-0.1216617348763478;0;0.31;50738
32;0;320000;14.890755912913711;-0.1227252292340369;0;0.32;50738
33;0;330000;14.871572277737911;-0.1239833484113705;0;0.33;50738
34;0;340000;14.868537292077786;-0.1253187439479311;0;0.34;50738
35;0;350000;14.863807887428;-0.1271952610629228;0;0.35;50738
36;0;360000;14.82561088750644;-0.1287962663578674;0;0.36;50738
37;0;370000;14.811979703238771;-0.1299996226556288;0;0.37;50738
38;0;380000;14.811117877330275;-0.1308838938346087;0;0.38;50738
39;0;390000;14.833185211099265;-0.1314593673722226;0;0.39;50738
40;0;400000;14.85032115786183;-0.1320866503541661;0;0.4;50738
41;0;410000;14.8601659956393;-0.1326225423702105;0;0.41;50738
42;0;420000;14.87241794012236;-0.1330069305596078;0;0.42;50738
43;0;430000;14.866895478962;-0.133514684206625;0;0.43;50738
44;0;440000;14.877577856050848;-0.1344243149361746;0;0.44;50738
45;0;450000;14.85811819460927;-0.1351553753551957;0;0.45;50738
46;0;460000;14.851573368986529;-0.1356834572091385;0;0.46;50738
47;0;470000;14.83414022498872;-0.1360253165684674;0;0.47;50738
48;0;480000;14.850144776626362;-0.1363302979775772;0;0.48;50738
49;0;490000;14.832514726732049;-0.136666430747638;0;0.49;50738
50;0;500000;14.852647635500835;-0.1372228305209784;0;0.5;50738
51;0;510000;14.86082243709886;-0.1377924848939004;0;0.51;50738
52;0;520000;14.874966728349875;-0.1380252877510055;0;0.52;50738
53;0;530000;14.895924875081036;-0.138156595852284;0;0.53;50738
54;0;540000;14.89186674875703;-0.138913632558807;0;0.54;50738
55;0;550000;14.84900292466276;-0.1401134073116948;0;0.55;50738
56;0;560000;14.8415761896589;-0.1407958750858012;0;0.56;50738
57;0;570000;14.784456557899;-0.1409631865921132;0;0.57;50738
58;0;580000;14.766094011879924;-0.1411987293634656;0;0.58;50738
59;0;590000;14.756811536763948;-0.1412839181864283;0;0.59;50738
60;0;600000;14.75508624783472;-0.1415219275847273;0;0.6;50738
61;0;610000;14.7872535435069;-0.1416686849560307;0;0.61;50738
62;0;620000;14.788431544035994;-0.1412650017990445;0;0.62;50738
63;0;630000;14.77442653675694;-0.1414929262761922;0;0.63;50738
64;0;640000;14.773996012433477;-0.1416535979336259;0;0.64;50738
65;0;650000;14.74702344165871;-0.1420437635742817;0;0.65;50727
66;0;660000;14.758275555132109;-0.1421686471153184;0;0.66;50738
67;0;670000;14.758464700332343;-0.1421823153267823;0;0.67;50738
68;0;680000;14.742546152525788;-0.1421399479479068;0;0.68;50727
69;0;690000;14.728235102663248;-0.1417232591036908;0;0.69;50727
70;0;700000;14.72533894371508;-0.1413792436864307;0;0.7;50727
71;0;710000;14.753614250378252;-0.1404670791720582;0;0.71;50738
72;0;720000;14.77829488720366;-0.1396951809951703;0;0.72;50738
73;0;730000;14.778650133001756;-0.1387994319154969;0;0.73;50738
74;0;740000;14.795015733357513;-0.1380764678501731;0;0.74;50738
75;0;750000;14.810120140902445;-0.137794121318251;0;0.75;50738
76;0;760000;14.85916067486632;-0.1382531313616963;0;0.76;50738
77;0;770000;14.91085051922477;-0.1385618271441868;0;0.77;50738
78;0;780000;14.933775904798605;-0.1384550964861659;0;0.78;50738
79;0;790000;14.91605282434677;-0.1379685746204139;0;0.79;50738
80;0;800000;14.911730900094062;-0.1383183534783683;0;0.8;50738
81;0;810000;14.893650564231097;-0.1388202664499539;0;0.81;50738
82;0;820000;14.874188082266636;-0.1396064174060821;0;0.82;50738
83;0;830000;14.866460446343948;-0.1401530425125438;0;0.83;50738
84;0;840000;14.81234828850083;-0.1399489344207551;0;0.84;50738
85;0;850000;14.839899470505536;-0.1396488964640116;0;0.85;50738
86;0;860000;14.879664370223866;-0.139392423732437;0;0.86;50738
87;0;870000;14.911572882102009;-0.1384235052806339;0;0.87;50738
88;0;880000;14.942452646238609;-0.1374303492765494;0;0.88;50738
89;0;890000;14.937271701805653;-0.1362817612687251;0;0.89;50738
90;0;900000;14.94641079839556;-0.1346825322378128;0;0.9;50738
91;0;910000;14.96156118106027;-0.1331527123692497;0;0.91;50738
92;0;920000;14.949224635298282;-0.1319099877627874;0;0.92;50738
93;0;930000;14.909036927045038;-0.1306099730967565;0;0.93;50738
94;0;940000;14.926893958097889;-0.129372520473805;0;0.94;50738
95;0;950000;14.947191814605729;-0.1279711637280609;0;0.95;50738
96;0;960000;14.965814064067107;-0.1262495676921842;0;0.96;50738
97;0;970000;14.96950185908901;-0.12450668472472;0;0.97;50738
98;0;980000;14.966386722993931;-0.1227868832369788;0;0.98;50738
99;0;990000;14.944360022665954;-0.1211147703319416;0;0.99;50738
100;1;0;14.943034562707805;-0.1187900233325902;0;1.0;50738
101;1;10000;14.922711956824111;-0.1166672888780157;0;1.01;50738
102;1;20000;14.95816014370858;-0.115086019546473;0;1.02;50738
103;1;30000;14.905014772513628;-0.1141447664284;0;1.03;50738
104;1;40000;14.887936648425532;-0.1136055646323646;0;1.04;50738
105;1;50000;14.922540457317934;-0.1133429424730157;0;1.05;50738
106;1;60000;14.9578667855626;-0.112416411183437;0;1.06;50738
107;1;70000;14.931829347377873;-0.1110463604481373;0;1.07;50738
108;1;80000;14.93866196555476;-0.1088377101085399;0;1.08;50738
109;1;90000;14.926109666143397;-0.1064608945502941;0;1.09;50738
110;1;100000;14.899425197759218;-0.1039514857911269;0;1.1;50738
111;1;110000;14.900044598129716;-0.1009304885955469;0;1.11;50738
112;1;120000;14.824236845278062;-0.097559641740595;0;1.12;50738
113;1;130000;14.836845058270846;-0.0941563519202906;0;1.13;50738
114;1;140000;14.83313045163993;-0.0908428761785068;0;1.1400000000000001;50738
115;1;150000;14.849702281513292;-0.0880435145532024;0;1.15;50738
116;1;160000;14.842594075664678;-0.0849578575080529;0;1.16;50738
117;1;170000;14.817846493694418;-0.0821181010321515;0;1.17;50738
118;1;180000;14.850996098441971;-0.0790481841798275;0;1.18;50738
119;1;190000;14.848410078089696;-0.0760977450432301;0;1.19;50738
120;1;200000;14.870777545645366;-0.0727964537812609;0;1.2;50738
121;1;210000;14.863313130716625;-0.0689233403380072;0;1.21;50738
122;1;220000;14.889217784637134;-0.0654760879518314;0;1.22;50738
123;1;230000;14.912287799735932;-0.0623034622909199;0;1.23;50738
124;1;240000;14.866857385150746;-0.0596137001460637;0;1.24;50738
125;1;250000;14.804004644166064;-0.0568913163519552;0;1.25;50738
126;1;260000;14.8411395974547;-0.0543351533870187;0;1.26;50738
127;1;270000;14.871639632668442;-0.0521315510804643;0;1.27;50738
128;1;280000;14.879994415695249;-0.050242463086035;0;1.28;50738
129;1;290000;14.839368937736833;-0.0481561954756852;0;1.29;50738
130;1;300000;14.844536423038267;-0.0462657140310265;0;1.3;50738
131;1;310000;14.824282878258376;-0.044572324104485;0;1.31;50738
132;1;320000;14.836093402267542;-0.0425238990287718;0;1.32;50738
133;1;330000;14.891983086916786;-0.040318648867745;0;1.33;50738
134;1;340000;14.898541087752134;-0.0375518667585316;0;1.34;50738
135;1;350000;14.889455160585456;-0.0342078617758803;0;1.35;50738
