Time (seconds);Time (microseconds);Position X (m);Position Y (m);Speed (m/s);Steering angle (deg)
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;0.0;0.0
0;0;0.15;1.99;36.79173817462173;-0.11361638239946664
0;11770;0.1523851962195738;1.99;36.937182701030224;-0.10684144825494511
0;23540;0.15477039243914764;1.99;37.08262722743872;-0.10006651411042358
0;35310;0.15715558865872145;1.99;37.22807175384722;-0.09329157996590205
0;47080;0.15954078487829526;1.99;37.373516280255714;-0.08651664582138052
0;58851;0.1619259810978691;1.99;37.51896080666421;-0.07974171167685899
0;70621;0.1643111773174429;1.99;37.66440533307271;-0.07296677753233746
0;82391;0.16669637353701672;1.99;37.809849859481204;-0.06619184338781593
0;94161;0.16908156975659053;1.99;37.9552943858897;-0.0594169092432944
0;105932;0.17146676597616436;1.99;38.1007389122982;-0.052641975098772865
0;117702;0.17385196219573817;1.99;38.246183438706694;-0.04586704095425134
0;129472;0.17623715841531198;1.99;38.39162796511519;-0.039092106809729806
0;141242;0.17862235463488582;1.99;38.53707249152369;-0.032317172665208276
0;153012;0.18100755085445963;1.99;38.682517017932184;-0.02554223852068675
0;164783;0.18339274707403344;1.99;38.82796154434068;-0.018767304376165223
0;176553;0.18577794329360728;1.99;38.97340607074918;-0.01199237023164368
0;188323;0.1881631395131811;1.99;39.118850597157675;-0.0052174360871221565
0;200093;0.19132586206680857;1.9901325862066808;39.240485456305564;0.00714067164069994
0;211864;0.19709320678012804;1.9907093206780129;39.282360718580975;0.03820175700357648
0;223634;0.2028605514934475;1.9912860551493448;39.32423598085638;0.06926284236645294
0;235404;0.20862789620676697;1.9918627896206766;39.36611124313179;0.1003239277293294
0;247174;0.21439524092008647;1.9924395240920085;39.4079865054072;0.13138501309220593
0;258945;0.22016258563340593;1.9930162585633406;39.449861767682606;0.1624460984550824
0;270715;0.2259299303467254;1.9935929930346725;39.49173702995802;0.19350718381795884
0;282485;0.23169727506004487;1.9941697275060044;39.53361229223343;0.2245682691808354
0;294255;0.23746461977336433;1.9947464619773365;39.57548755450883;0.25562935454371183
0;306025;0.2432319644866838;1.9953231964486684;39.617362816784244;0.28669043990658827
0;317796;0.24899930920000327;1.9958999309200003;39.659238079059655;0.31775152526946476
0;329566;0.2547666539133227;1.9964766653913322;39.70111334133506;0.3488126106323412
0;341336;0.2605339986266422;1.9970533998626643;39.74298860361047;0.3798736959952178
0;353106;0.2663013433399617;1.9976301343339962;39.78486386588588;0.4109347813580943
0;364877;0.27206868805328116;1.998206868805328;39.826739128161286;0.44199586672097074
0;376647;0.2778360327666006;1.9987836032766602;39.8686143904367;0.4730569520838472
0;388417;0.2836033774799201;1.999360337747992;39.91048965271211;0.5041180374467237
0;400187;0.28937072219323956;1.999937072219324;39.95236491498751;0.5351791228096001
0;411957;0.29;2.0;39.99576302038868;0.5097666450515129
0;423728;0.29;2.0;40.03934763394546;0.4774376439030158
0;435498;0.29;2.0;40.08293224750225;0.44510864275451884
0;447268;0.29;2.0;40.12651686105903;0.41277964160602193
0;459038;0.29;2.0;40.17010147461582;0.38045064045752497
0;470809;0.29;2.0;40.21368608817261;0.34812163930902806
0;482579;0.29;2.0;40.25727070172939;0.3157926381605311
0;494349;0.29;2.0;40.30085531528618;0.283463637012034
0;506119;0.29;2.0;40.34443992884296;0.25113463586353707
0;517890;0.29;2.0;40.38802454239975;0.2188056347150401
0;529660;0.29;2.0;40.43160915595654;0.18647663356654318
0;541430;0.29;2.0;40.47519376951332;0.15414763241804624
0;553200;0.29;2.0;40.51877838307011;0.12181863126954931
0;564970;0.29;2.0;40.56236299662689;0.0894896301210522
0;576741;0.29;2.0;40.60594761018368;0.05716062897255526
0;588511;0.29;2.0;40.649532223740465;0.02483162782405832
0;600281;0.2948438689332704;2.0001383962552364;40.693123101538376;0.007453582387522974
0;612051;0.31573084328152956;2.000735166950901;40.736734726776454;0.03959375510390426
0;623822;0.33661781762978865;2.0013319376465653;40.780346352014526;0.07173392782028555
0;635592;0.3575047919780475;2.0019287083422297;40.8239579772526;0.10387410053666647
0;647362;0.3783917663263066;2.0025254790378946;40.867569602490676;0.13601427325304777
0;659132;0.3992787406745655;2.003122249733559;40.91118122772875;0.1681544459694287
0;670902;0.42016571502282457;2.0037190204292235;40.95479285296682;0.20029461868580997
0;682673;0.4410526893710837;2.004315791124888;40.99840447820489;0.23243479140219125
0;694443;0.4619396637193426;2.0049125618205523;41.04201610344297;0.2645749641185722
0;706213;0.4828266380676017;2.005509332516217;41.08562772868104;0.2967151368349535
0;717983;0.5037136124158605;2.0061061032118817;41.12923935391911;0.3288553095513344
0;729754;0.5246005867641197;2.006702873907546;41.17285097915718;0.36099548226771566
0;741524;0.5454875611123785;2.0072996446032105;41.21646260439526;0.39313565498409664
0;753294;0.5663745354606377;2.007896415298875;41.26007422963333;0.4252758277004779
0;765064;0.5872615098088967;2.00849318599454;41.303685854871404;0.4574160004168592
0;776835;0.6081484841571556;2.0090899566902043;41.347297480109475;0.4895561731332401
0;788605;0.6290354585054146;2.0096867273858687;41.39090910534755;0.5216963458496214
0;800375;0.6463591178286333;2.01;41.42779924967426;0.5978146524457858
0;812145;0.6597452231238732;2.01;41.4572619860815;0.7225299191716228
