Time (seconds);Time (microseconds);Position X (m);Position Y (m);Speed (m/s);Steering angle (deg);Lane change
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;0.0;0.0;0
0;0;0.67;2.06;37.41686255235097;5.551115123125783e-17;0
0;10272;0.6710282838533151;2.06;37.47752634378157;0.01744414110995749;0
